"clc_quartier","clc_secteur","haut_tot","haut_tronc","tronc_diam","fk_arb_etat","fk_stadedev","fk_port","fk_pied","fk_situation","fk_revetement","dte_plantation","age_estim","fk_prec_estim","dte_abattage","fk_nomtech","villeca","feuillage","remarquable","long","lat"
"Quartier du Centre-Ville","Boulevard Richelieu",1200,300,100,"SUPPRIMÉ","Non renseigné","Non renseigné","Non renseigné","Alignement","Non renseigné","Non renseigné",30,10,"2015/07/01 00:00:00+00","RAS","VILLE","Non renseigné","Non",3.28253962896986,49.8504576367
"Quartier du Centre-Ville","Boulevard Léon Blum",1200,300,100,"ABATTU","Non renseigné","Non renseigné","Non renseigné","Alignement","Non renseigné","Non renseigné",30,10,"Non renseigné","RAS","VILLE","Non renseigné","Non",3.29052109238604,49.8406544387205
"Quartier du Centre-Ville","Boulevard Léon Blum",1200,300,100,"SUPPRIMÉ","Non renseigné","Non renseigné","Non renseigné","Alignement","Non renseigné","Non renseigné",30,10,"Non renseigné","RAS","VILLE","Non renseigné","Non",3.2904596781761,49.8407563280135
"Quartier du Centre-Ville","Boulevard Léon Blum",1200,300,100,"SUPPRIMÉ","Non renseigné","Non renseigné","Non renseigné","Alignement","Non renseigné","Non renseigné",30,10,"Non renseigné","RAS","VILLE","Non renseigné","Non",3.29056841678439,49.8407831816535
"Quartier du Centre-Ville","Boulevard Léon Blum",1200,300,100,"ABATTU","Non renseigné","Non renseigné","Non renseigné","Alignement","Non renseigné","Non renseigné",30,10,"Non renseigné","RAS","VILLE","Non renseigné","Non",3.2931777379989,49.8414408451545
"Quartier du Centre-Ville","Boulevard Henri Martin",1200,300,100,"ABATTU","Non renseigné","Non renseigné","Non renseigné","Alignement","Non renseigné","Non renseigné",30,10,"Non renseigné","RAS","VILLE","Non renseigné","Non",3.27915016082273,49.8460590180875
"Quartier du Centre-Ville","Boulevard Léon Blum",1200,300,100,"ABATTU","Non renseigné","Non renseigné","Non renseigné","Alignement","Non renseigné","Non renseigné",30,10,"Non renseigné","RAS","VILLE","Non renseigné","Non",3.28925378014812,49.8404500822088
"Quartier du Centre-Ville","Boulevard Henri Martin",1200,300,100,"SUPPRIMÉ","Non renseigné","Non renseigné","Non renseigné","Alignement","Non renseigné","Non renseigné",30,10,"2017/06/30 22:00:00+00","RAS","VILLE","Non renseigné","Non",3.2791376866791,49.8460020216126
"Quartier du Centre-Ville","Boulevard Henri Martin",1200,300,100,"SUPPRIMÉ","Non renseigné","Non renseigné","Non renseigné","Alignement","Non renseigné","Non renseigné",30,10,"2017/06/30 22:00:00+00","RAS","VILLE","Non renseigné","Non",3.27912429794712,49.8459404169574
"Quartier du Centre-Ville","Quai Gayant",600,200,37,"EN PLACE","Jeune","semi libre","gazon","Alignement","Non","Non renseigné",15,5,"Non renseigné","QUERUB","VILLE","Feuillu","Non",3.29326360936389,49.840500205123
"Quartier Remicourt","Boulevard Roosevelt",1200,300,100,"SUPPRIMÉ","Non renseigné","Non renseigné","Non renseigné","Alignement","Non renseigné","Non renseigné",30,10,"Non renseigné","RAS","VILLE","Non renseigné","Non",3.29240755275921,49.8533539667271
"Quartier du Centre-Ville","Boulevard Richelieu",1200,300,100,"SUPPRIMÉ","Non renseigné","Non renseigné","Non renseigné","Alignement","Non renseigné","Non renseigné",30,10,"Non renseigné","RAS","VILLE","Non renseigné","Non",3.28084309581282,49.8493590390517
"Quartier du Centre-Ville","Boulevard Henri Martin",1200,300,100,"Essouché","Non renseigné","Non renseigné","Non renseigné","Alignement","Non renseigné","Non renseigné",30,10,"Non renseigné","RAS","VILLE","Non renseigné","Non",3.27900328253487,49.8454014300038
"Quartier Saint-Martin - Oëstres","Rue Alexandre Dumas",1200,300,100,"ABATTU","Non renseigné","Non renseigné","Non renseigné","Alignement","Non renseigné","Non renseigné",30,10,"Non renseigné","RAS","VILLE","Non renseigné","Non",3.27270631337615,49.8473281623917
"Quartier du Centre-Ville","Boulevard Henri Martin",1200,300,100,"Essouché","Non renseigné","Non renseigné","Non renseigné","Alignement","Non renseigné","Non renseigné",30,10,"Non renseigné","RAS","VILLE","Non renseigné","Non",3.27899008807783,49.8453477751986
"Quartier du Centre-Ville","Boulevard Henri Martin",1200,300,100,"Essouché","Non renseigné","Non renseigné","Non renseigné","Alignement","Non renseigné","Non renseigné",30,10,"Non renseigné","RAS","VILLE","Non renseigné","Non",3.27896696590602,49.8452418360689
"Quartier du Centre-Ville","Boulevard Henri Martin",1200,300,100,"Essouché","Non renseigné","Non renseigné","Non renseigné","Alignement","Non renseigné","Non renseigné",30,10,"Non renseigné","RAS","VILLE","Non renseigné","Non",3.27895339314871,49.8451869189829
"Quartier du Centre-Ville","Boulevard Henri Martin",1200,300,100,"ABATTU","Non renseigné","Non renseigné","Non renseigné","Alignement","Non renseigné","Non renseigné",30,10,"Non renseigné","RAS","VILLE","Non renseigné","Non",3.27936264895933,49.8461592867672
"Quartier du Centre-Ville","Boulevard Henri Martin",1200,300,100,"ABATTU","Non renseigné","Non renseigné","Non renseigné","Alignement","Non renseigné","Non renseigné",30,10,"Non renseigné","RAS","VILLE","Non renseigné","Non",3.27937330964822,49.8462083308976
"Quartier Saint-Jean","Rue Demoustier",700,250,56,"Non essouché","Non renseigné","Non renseigné","fosse arbre","Alignement","Non","Non renseigné",15,10,"Non renseigné","RAS","VILLE","Non renseigné","Non",3.2756863100174,49.8476473279334
"Quartier du Vermandois","Stade Cepy",1300,100,160,"EN PLACE","Adulte","semi libre","gazon","Groupe","Non","Non renseigné",50,10,"Non renseigné","PINNIGnig","VILLE","Conifère","Non",3.273379794709,49.8614087133612
"Quartier du Centre-Ville","Rue Villebois Mareuil",1200,300,116,"REMPLACÉ","Adulte","semi libre","gazon","Alignement","Non","Non renseigné",30,10,"2016/12/31 23:00:00+00","ACEPSE","VILLE","Feuillu","Non",3.28906782466355,49.8445131066071
"Quartier du Centre-Ville","Boulevard Richelieu",1200,300,100,"SUPPRIMÉ","Non renseigné","Non renseigné","Non renseigné","Alignement","Non renseigné","Non renseigné",30,10,"2015/07/01 00:00:00+00","RAS","VILLE","Non renseigné","Non",3.28240559941807,49.8503815234694
"Quartier du Centre-Ville","Boulevard Richelieu",1200,300,100,"SUPPRIMÉ","Non renseigné","Non renseigné","Non renseigné","Alignement","Non renseigné","Non renseigné",30,10,"2015/07/01 00:00:00+00","RAS","VILLE","Non renseigné","Non",3.28234210765247,49.8503482080216
"Quartier de l'Europe","Square des Marronniers",1600,300,150,"EN PLACE","Adulte","semi libre","gazon","Groupe","Non","Non renseigné",50,2,"Non renseigné","ACEPLA","VILLE","Feuillu","Non",3.30238687765097,49.8617777171499
"Quartier de l'Europe","Avenue Buffon",500,200,170,"Essouché","Adulte","réduit","gazon","Isolé","Non","Non renseigné",40,2,"2018/04/30 22:00:00+00","SALBAB","VILLE","Feuillu","Non",3.30404724089302,49.8584462024571
"Quartier de l'Europe","Rue Laplace",800,300,103,"EN PLACE","Adulte","réduit relâché","fosse arbre","Alignement","Oui","Non renseigné",30,10,"Non renseigné","ACEPLA","VILLE","Feuillu","Non",3.30553745769042,49.8609281587516
"Quartier Saint-Martin - Oëstres","Rue de Paris",600,300,100,"EN PLACE","Adulte","réduit","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.27126447731581,49.8378971710309
"Quartier Saint-Martin - Oëstres","Rue de Paris",800,200,85,"EN PLACE","Adulte","réduit relâché","Revetement non permeable","Alignement","Non renseigné","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.27090070184093,49.8377471700068
"Quartier Saint-Martin - Oëstres","Rue de Paris",800,400,105,"EN PLACE","Adulte","réduit relâché","Revetement non permeable","Alignement","Non renseigné","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.27073222757654,49.8376726168807
"Quartier Saint-Martin - Oëstres","Rue de Paris",900,400,135,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.27054202279862,49.8375900220827
"Quartier Saint-Martin - Oëstres","Rue de Paris",900,400,121,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.27036398652782,49.8375138245111
"Quartier Saint-Martin - Oëstres","Rue de Paris",900,200,107,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.26999873221424,49.8373633466866
"Quartier Saint-Martin - Oëstres","Rue de Paris",900,500,125,"EN PLACE","Adulte","réduit relâché","fosse arbre","Alignement","Non renseigné","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.26979318707569,49.8372669944122
"Quartier Saint-Martin - Oëstres","Rue de Paris",1000,400,92,"EN PLACE","Adulte","réduit relâché","Revetement non permeable","Alignement","Non renseigné","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.26961516089127,49.8371924607311
"Quartier Saint-Martin - Oëstres","Rue de Paris",1000,500,150,"EN PLACE","Adulte","réduit relâché","Revetement non permeable","Alignement","Non renseigné","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.26925038512817,49.8370269975715
"Quartier Saint-Martin - Oëstres","Rue de Paris",900,400,115,"EN PLACE","Adulte","réduit relâché","Revetement non permeable","Alignement","Non renseigné","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.26906976999357,49.8369494994106
"Quartier Saint-Martin - Oëstres","Rue de Paris",900,400,89,"EN PLACE","Adulte","réduit relâché","Revetement non permeable","Alignement","Non renseigné","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.26887138437017,49.8368493215909
"Quartier Saint-Martin - Oëstres","Rue de Paris",900,200,110,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.26867789809162,49.8367714908862
"Quartier Saint-Martin - Oëstres","Rue de Paris",900,500,115,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.26848917650306,49.836690672182
"Quartier Saint-Martin - Oëstres","Rue de Paris",900,500,103,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.2683265978609,49.836615871042
"Quartier Saint-Martin - Oëstres","Rue de Paris",1000,500,145,"EN PLACE","Adulte","réduit relâché","Revetement non permeable","Alignement","Non renseigné","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.26813011747173,49.8365280523484
"Quartier Saint-Martin - Oëstres","Rue de Paris",1000,500,135,"EN PLACE","Adulte","réduit relâché","Revetement non permeable","Alignement","Non renseigné","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.26785729637164,49.8363992540906
"Quartier Saint-Martin - Oëstres","Rue de Paris",700,400,115,"EN PLACE","Adulte","réduit","Revetement non permeable","Alignement","Non renseigné","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.26752921381262,49.8362515445129
"Quartier Saint-Martin - Oëstres","Rue de Paris",700,400,137,"EN PLACE","Adulte","réduit","Revetement non permeable","Alignement","Non renseigné","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.26735853971088,49.8361734276685
"Quartier Saint-Martin - Oëstres","Rue de Paris",1000,700,165,"EN PLACE","Adulte","réduit relâché","Revetement non permeable","Alignement","Non renseigné","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.26683805231656,49.835943124461
"Quartier Saint-Martin - Oëstres","Rue de Paris",1000,800,140,"EN PLACE","Adulte","réduit relâché","Revetement non permeable","Alignement","Non renseigné","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.26613028425575,49.835622604285
"Quartier Saint-Martin - Oëstres","Rue de Paris",1000,500,140,"EN PLACE","Adulte","réduit relâché","Revetement non permeable","Alignement","Non renseigné","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.26595997445925,49.8355447192241
"Quartier Saint-Martin - Oëstres","Rue de Paris",1000,400,160,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.26444745795493,49.8348510646031
"Quartier Saint-Martin - Oëstres","Rue de Paris",1000,400,140,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.26408147689516,49.8346951063389
"Quartier Saint-Martin - Oëstres","Rue de Paris",1000,400,160,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.26390341501276,49.8346105736967
"Quartier Saint-Martin - Oëstres","Rue de Paris",1000,500,163,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.26371980671842,49.8345193966166
"Quartier Saint-Martin - Oëstres","Rue de Paris",1000,400,139,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.26338104826488,49.8343648008932
"Quartier Saint-Martin - Oëstres","Rue de Paris",1000,400,165,"EN PLACE","Adulte","réduit relâché","Revetement non permeable","Alignement","Non renseigné","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.26283298917162,49.834127166724
"Quartier Saint-Martin - Oëstres","Rue de Paris",1100,400,140,"EN PLACE","Adulte","réduit relâché","Revetement non permeable","Alignement","Non renseigné","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.26195573085169,49.833731822293
"Quartier Saint-Martin - Oëstres","Rue de Paris",1100,300,142,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.26141026936849,49.8334870748835
"Quartier Saint-Martin - Oëstres","Rue de Paris",1100,400,140,"EN PLACE","Adulte","réduit relâché","Revetement non permeable","Alignement","Non renseigné","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.2611961037021,49.8333876312093
"Quartier Saint-Martin - Oëstres","Rue de Paris",1100,400,160,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25981374389317,49.8327476000023
"Quartier Saint-Martin - Oëstres","Rue de Paris",1000,500,110,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25963387627693,49.8326668705583
"Quartier Saint-Martin - Oëstres","Rue de Paris",1000,200,125,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25944359575298,49.8325745561055
"Quartier Saint-Martin - Oëstres","Rue de Paris",900,200,138,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.2593006728614,49.8325078282319
"Quartier Saint-Martin - Oëstres","Rue de Paris",1000,300,125,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25891320433952,49.8323356030998
"Quartier Saint-Martin - Oëstres","Rue de Paris",1000,200,115,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25864577737035,49.8322106643312
"Quartier Saint-Martin - Oëstres","Rue de Paris",1000,200,150,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.2585013674586,49.8321401348365
"Quartier Saint-Martin - Oëstres","Rue de Paris",1000,200,150,"EN PLACE","Adulte","réduit relâché","Revetement non permeable","Alignement","Non renseigné","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25825454661381,49.8320199040071
"Quartier Saint-Martin - Oëstres","Rue de Paris",1200,300,100,"ABATTU","Non renseigné","Non renseigné","Non renseigné","Alignement","Non renseigné","Non renseigné",30,10,"Non renseigné","RAS","VILLE","Non renseigné","Non",3.25577064689003,49.8310298745055
"Quartier Saint-Martin - Oëstres","Rue de Paris",900,300,130,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25556308122738,49.8309500856251
"Quartier Saint-Martin - Oëstres","Rue de Paris",1000,300,150,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25539102916128,49.8308844125517
"Quartier Saint-Martin - Oëstres","Rue de Paris",1200,300,100,"ABATTU","Non renseigné","Non renseigné","Non renseigné","Alignement","Non renseigné","Non renseigné",30,10,"Non renseigné","RAS","VILLE","Non renseigné","Non",3.25521978302272,49.8308242262308
"Quartier Saint-Martin - Oëstres","Rue de Paris",900,200,130,"EN PLACE","Adulte","réduit relâché","Revetement non permeable","Alignement","Non renseigné","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25508132531103,49.8307702878881
"Quartier Saint-Martin - Oëstres","Rue de Paris",1000,200,160,"EN PLACE","Adulte","réduit relâché","Revetement non permeable","Alignement","Non renseigné","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.2549524221648,49.8307276244093
"Quartier Saint-Martin - Oëstres","Rue de Paris",900,300,110,"EN PLACE","Adulte","réduit relâché","Revetement non permeable","Alignement","Non renseigné","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25462825585683,49.8306033283353
"Quartier Saint-Martin - Oëstres","Rue de Paris",900,200,110,"EN PLACE","Adulte","réduit relâché","Revetement non permeable","Alignement","Non renseigné","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25451706943609,49.8305623548285
"Quartier Saint-Martin - Oëstres","Rue de Paris",900,200,145,"EN PLACE","Adulte","réduit relâché","Revetement non permeable","Alignement","Non renseigné","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25423879644442,49.8304598070835
"Quartier Saint-Martin - Oëstres","Rue de Paris",900,200,105,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25406792798772,49.8303968401649
"Quartier Saint-Martin - Oëstres","Rue de Paris",900,200,120,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25396020155291,49.8303571406974
"Quartier Saint-Martin - Oëstres","Rue de Paris",900,200,140,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25381377408938,49.8303031785416
"Quartier Saint-Martin - Oëstres","Rue de Paris",900,200,140,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25368319391492,49.830255058202
"Quartier Saint-Martin - Oëstres","Rue de Paris",900,300,115,"EN PLACE","Adulte","réduit relâché","Revetement non permeable","Alignement","Non renseigné","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25353438536096,49.8301987785724
"Quartier Saint-Martin - Oëstres","Rue de Paris",900,200,110,"EN PLACE","Adulte","réduit relâché","Revetement non permeable","Alignement","Non renseigné","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25339515030382,49.8301489072591
"Quartier Saint-Martin - Oëstres","Rue de Paris",1000,200,140,"EN PLACE","Adulte","réduit relâché","Revetement non permeable","Alignement","Non renseigné","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25325106351452,49.8300958069378
"Quartier Saint-Martin - Oëstres","Rue de Paris",1000,200,135,"EN PLACE","Adulte","réduit relâché","Revetement non permeable","Alignement","Non renseigné","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25308745954915,49.8300355137966
"Quartier Saint-Martin - Oëstres","Rue de Paris",900,200,130,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25290138782391,49.8299669408555
"Quartier Saint-Martin - Oëstres","Rue de Paris",900,200,140,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25242203343751,49.8297852227848
"Quartier Saint-Martin - Oëstres","Rue de Paris",900,200,110,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25211706524014,49.8296793028901
"Quartier Saint-Martin - Oëstres","Rue de Paris",900,300,115,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25200367280539,49.8296360966713
"Quartier Saint-Martin - Oëstres","Rue de Paris",900,200,165,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25162703777321,49.8296396082948
"Quartier Saint-Martin - Oëstres","Rue de Paris",900,200,115,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25174335647579,49.8296800152209
"Quartier Saint-Martin - Oëstres","Rue de Paris",1000,200,140,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25191220737606,49.8297414452775
"Quartier Saint-Martin - Oëstres","Rue de Paris",1000,200,130,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25221866691384,49.8298503563654
"Quartier Saint-Martin - Oëstres","Rue de Paris",1200,300,100,"ABATTU","Non renseigné","Non renseigné","Non renseigné","Alignement","Non renseigné","Non renseigné",30,10,"Non renseigné","RAS","VILLE","Non renseigné","Non",3.2525166476366,49.8299618544076
"Quartier Saint-Martin - Oëstres","Rue de Paris",900,200,110,"EN PLACE","Adulte","réduit relâché","Revetement non permeable","Alignement","Non renseigné","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25280970602588,49.8300740132137
"Quartier Saint-Martin - Oëstres","Rue de Paris",1000,200,130,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25314780034582,49.8301972045082
"Quartier Saint-Martin - Oëstres","Rue de Paris",900,200,125,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25329873444946,49.8302520379478
"Quartier Saint-Martin - Oëstres","Rue de Paris",1000,200,150,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25371841551268,49.8304063855012
"Quartier Saint-Martin - Oëstres","Rue de Paris",1000,200,140,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25387303308402,49.8304626379433
"Quartier Saint-Martin - Oëstres","Rue de Paris",900,200,110,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.2539989438066,49.8305099167657
"Quartier Saint-Martin - Oëstres","Rue de Paris",800,300,100,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25443628695423,49.8306681227387
"Quartier Saint-Martin - Oëstres","Rue de Paris",1200,300,100,"ABATTU","Non renseigné","Non renseigné","Non renseigné","Alignement","Non renseigné","Non renseigné",30,10,"Non renseigné","RAS","VILLE","Non renseigné","Non",3.25458531986291,49.8307245760487
"Quartier Saint-Martin - Oëstres","Rue de Paris",1000,200,135,"EN PLACE","Adulte","réduit relâché","Revetement non permeable","Alignement","Non renseigné","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25500433267993,49.8308755453703
"Quartier Saint-Martin - Oëstres","Rue de Paris",1000,200,135,"EN PLACE","Adulte","réduit relâché","Revetement non permeable","Alignement","Non renseigné","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25516927613527,49.8309387854277
"Quartier Saint-Martin - Oëstres","Rue de Paris",1000,200,150,"EN PLACE","Adulte","réduit relâché","Revetement non permeable","Alignement","Non renseigné","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25531586958755,49.8309892679619
"Quartier Saint-Martin - Oëstres","Rue de Paris",1000,300,130,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25546378967989,49.8310454330767
"Quartier Saint-Martin - Oëstres","Rue de Paris",1000,300,170,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25567953740029,49.831126988938
"Quartier Saint-Martin - Oëstres","Rue de Paris",1000,300,160,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.2558604792689,49.8311892203839
"Quartier Saint-Martin - Oëstres","Rue de Paris",1000,300,155,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25602008630148,49.8312532674422
"Quartier Saint-Martin - Oëstres","Rue de Paris",1000,300,190,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25700425588425,49.8316315227692
"Quartier Saint-Martin - Oëstres","Rue de Paris",1000,400,115,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25719529021242,49.8317122353866
"Quartier Saint-Martin - Oëstres","Rue de Paris",1000,200,140,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25736997569236,49.8317860814672
"Quartier Saint-Martin - Oëstres","Rue de Paris",1100,300,170,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25754036204169,49.8318624576828
"Quartier Saint-Martin - Oëstres","Rue de Paris",900,500,140,"EN PLACE","Adulte","réduit relâché","gazon","Alignement","Non","Non renseigné",50,10,"Non renseigné","TILCOR","VILLE","Feuillu","Non",3.25771686361772,49.8319420918977
